# min_pT_[GeV]  N_entries

         0      1808
    0.0015      3448
     0.003      4543
    0.0045      5325
     0.006      5713
    0.0075      6223
     0.009      6560
    0.0105      6879
     0.012      7326
    0.0135      7627
     0.015      7889
    0.0165      8094
     0.018      8330
    0.0195      8506
     0.021      8793
    0.0225      8724
     0.024      9002
    0.0255      9194
     0.027      9309
    0.0285      9234
      0.03      9402
    0.0315      9413
     0.033      9483
    0.0345      9768
     0.036      9773
    0.0375     10048
     0.039      9819
    0.0405     10053
     0.042      9736
    0.0435     10164
     0.045     10140
    0.0465     10204
     0.048     10355
    0.0495     10055
     0.051     10042
    0.0525     10185
     0.054     10269
    0.0555     10339
     0.057     10337
    0.0585     10307
      0.06     10650
    0.0615     10178
     0.063     10375
    0.0645     10431
     0.066     10423
    0.0675     10364
     0.069     10500
    0.0705     10381
     0.072     10347
    0.0735     10441
     0.075     10242
    0.0765     10274
     0.078     10163
    0.0795     10277
     0.081     10178
    0.0825     10151
     0.084      9961
    0.0855     10208
     0.087     10059
    0.0885     10271
      0.09     10094
    0.0915     10220
     0.093     10046
    0.0945      9886
     0.096     10024
    0.0975      9916
     0.099     10077
    0.1005      9926
     0.102     10067
    0.1035      9838
     0.105      9673
    0.1065      9785
     0.108      9719
    0.1095      9692
     0.111      9676
    0.1125      9773
     0.114      9618
    0.1155      9659
     0.117      9551
    0.1185      9274
      0.12      9374
    0.1215      9409
     0.123      9307
    0.1245      9404
     0.126      9315
    0.1275      9162
     0.129      9311
    0.1305      9221
     0.132      9192
    0.1335      9018
     0.135      9114
    0.1365      8960
     0.138      8902
    0.1395      8977
     0.141      8883
    0.1425      8633
     0.144      8843
    0.1455      8704
     0.147      8849
    0.1485      8703
      0.15      8675
    0.1515      8562
     0.153      8538
    0.1545      8502
     0.156      8516
    0.1575      8403
     0.159      8375
    0.1605      8285
     0.162      8348
    0.1635      8176
     0.165      8203
    0.1665      8336
     0.168      8254
    0.1695      7954
     0.171      7895
    0.1725      8078
     0.174      7913
    0.1755      7870
     0.177      7941
    0.1785      7792
      0.18      7720
    0.1815      7760
     0.183      7744
    0.1845      7646
     0.186      7542
    0.1875      7348
     0.189      7454
    0.1905      7483
     0.192      7319
    0.1935      7497
     0.195      7324
    0.1965      7415
     0.198      7375
    0.1995      7219
     0.201      7146
    0.2025      7280
     0.204      7103
    0.2055      7028
     0.207      6967
    0.2085      6987
      0.21      6901
    0.2115      7002
     0.213      6931
    0.2145      6893
     0.216      6895
    0.2175      6894
     0.219      6893
    0.2205      6690
     0.222      6770
    0.2235      6619
     0.225      6664
    0.2265      6703
     0.228      6702
    0.2295      6669
     0.231      6467
    0.2325      6533
     0.234      6458
    0.2355      6541
     0.237      6573
    0.2385      6496
      0.24      6517
    0.2415      6423
     0.243      6264
    0.2445      6436
     0.246      6321
    0.2475      6395
     0.249      6379
    0.2505      6233
     0.252      6437
    0.2535      6237
     0.255      6441
    0.2565      6350
     0.258      6346
    0.2595      6311
     0.261      6324
    0.2625      6335
     0.264      6366
    0.2655      6423
     0.267      6318
    0.2685      6292
      0.27      6390
    0.2715      6385
     0.273      6393
    0.2745      6408
     0.276      6454
    0.2775      6404
     0.279      6516
    0.2805      6611
     0.282      6584
    0.2835      6600
     0.285      6538
    0.2865      6679
     0.288      6784
    0.2895      6916
     0.291      6937
    0.2925      7149
     0.294      7227
    0.2955      7259
     0.297      7559
    0.2985      7799
       0.3      8021
    0.3015      8512
     0.303      9034
    0.3045      9859
     0.306     10663
    0.3075     11225
     0.309     10448
    0.3105      9561
     0.312      8570
    0.3135      8266
     0.315      7805
    0.3165      7573
     0.318      7522
    0.3195      7152
     0.321      7051
    0.3225      6816
     0.324      6610
    0.3255      6671
     0.327      6433
    0.3285      6418
      0.33      6210
    0.3315      6162
     0.333      5833
    0.3345      5991
     0.336      5821
    0.3375      5630
     0.339      5884
    0.3405      5648
     0.342      5410
    0.3435      5439
     0.345      5394
    0.3465      5362
     0.348      5507
    0.3495      5328
     0.351      5238
    0.3525      5149
     0.354      4987
    0.3555      4110
     0.357      2625
    0.3585       974
      0.36       185
    0.3615        15
     0.363         1
    0.3645         0
     0.366         0
    0.3675         0
     0.369         0
    0.3705         0
     0.372         0
    0.3735         0
